Stadium;Capacity
Manchester United (Old Trafford);74.140
Tottenham Hotspur (Tottenham Hotspur Stadium);62.303
Arsenal FC (Emirates Stadium);60.704
West Ham United (Queen Elizabeth Olympic Park);60.000
Manchester City (Etihad Stadium);55.017
Liverpool FC (Anfield);53.394
Newcastle United (St James' Park);52.305
Aston Villa (Villa Park);42.749
Chelsea FC (Stamford Bridge);40.834
Everton FC (Goodison Park);39.414
Leeds United (Elland Road);37.792
Southampton FC (St Mary's Stadium);32.384
Leicester City (King Power Stadium);32.261
Sheffield United (Bramall Lane);32.050
Wolverhampton Wanderers (Molineux Stadium);32.050
Brighton & Hove Albion (The American Express Community Stadium);30.750
West Bromwich Albion (The Hawthorns);26.688
Crystal Palace (Selhurst Park Stadium);25.486
Burnley FC (Turf Moor);21.744
Fulham (Craven Cottage);19.359
